Name,SATPercentage,SAT_Bottom25Percent,SAT_Top25Percent,ACTPercentage,ACT_Bottom25Percent,ACT_Top25Percent,PercentageAdmitted,InStateTuition_2014,OutofStateTuition_2014,State,Region,Type,Location,PercentageBlack,PercentageLatinx,PercentageFemale,GraduationRate,PercentageRecievingAnyFinancialAid,PercentageRecievingPellGrant
University of Sioux Falls,3,400,460,95,20,26,97,35780,35780,South Dakota,Plains,Private,Midsize City,4,3,59,43,100,29
University of the Ozarks,16,420,550,85,20,26,61,36379,36379,Arkansas,Southeast,Private,Remote Town,5,9,52,43,92,43
Southwest Baptist University,7,400,550,85,20,26,90,30340,30340,Missouri,Plains,Private,Distant Town,5,1,64,43,95,48
Cabrini College,100,390,500,10,17,23,74,45322,45322,Pennsylvania,Mid East,Private,Large Suburb,13,5,64,43,99,44
Saint Martin's University,88,470,580,27,19,25,88,44038,44038,Washington,Far West,Private,Midsize Suburb,6,11,51,43,95,39
Murray State University,2,430,520,93,19,25,82,18898,31018,Kentucky,Southeast,Public,Remote Town,7,2,58,43,97,38
Simpson University,85,460,570,33,21,23,55,35324,35324,California,Far West,Private,Small City,3,14,66,43,99,48
Central Michigan University,2,450,550,99,20,24,63,22004,34454,Michigan,Great Lakes,Public,Distant Town,7,3,56,44,69,35
Western Carolina University,87,460,560,17,20,24,38,18599,28196,North Carolina,Southeast,Public,Fringe Rural,6,4,55,44,71,39
Eastern Connecticut State University,94,460,550,13,20,24,65,24394,35899,Connecticut,New England,Public,Fringe Town,6,9,54,44,57,26
Texas Lutheran University,82,450,560,51,20,25,51,37620,37620,Texas,Southwest,Private,Fringe Town,8,31,52,44,100,41
Notre Dame de Namur University,77,430,550,45,18,22,87,49038,49038,California,Far West,Private,Large Suburb,6,34,67,44,97,49
Framingham State University,98,470,560,2,19,25,52,22804,28884,Massachusetts,New England,Public,Small City,8,9,63,44,84,30
University of Wisconsin-Whitewater,1,470,580,98,20,24,85,17078,24651,Wisconsin,Great Lakes,Public,Distant Town,5,4,51,44,51,29
Lander University,55,413,530,45,18,22,42,22300,31336,South Carolina,Southeast,Public,Distant Town,33,1,69,44,97,51
Piedmont College,77,450,560,45,19,24,61,34090,34090,Georgia,Southeast,Private,Distant Town,10,4,67,44,99,43
Bethany College,62,380,530,56,17,24,49,39082,39082,West Virginia,Southeast,Private,Fringe Rural,20,3,44,44,99,51
Holy Cross College,46,440,550,50,19,26,72,37484,37484,Indiana,Great Lakes,Private,Large Suburb,6,9,37,44,100,30
Immaculata University,97,420,530,17,18,21,80,49130,49130,Pennsylvania,Mid East,Private,Large Suburb,16,5,76,44,100,27
Missouri State University-Springfield,5,470,600,95,21,26,85,19251,25731,Missouri,Plains,Public,Midsize City,4,3,57,44,71,36
University of Utah,19,483,620,85,21,27,82,21920,38199,Utah,Rocky Mountains,Public,Midsize City,1,9,45,44,51,24
Pennsylvania State University-Penn State Hazleton,93,410,520,4,20,24,86,30150,36826,Pennsylvania,Mid East,Public,Small Suburb,16,15,48,44,77,46
Trine University,40,470,570,60,21,27,72,45250,45250,Indiana,Great Lakes,Private,Distant Town,2,3,35,45,100,31
Mansfield University of Pennsylvania,97,420,530,14,19,23,92,22434,32558,Pennsylvania,Mid East,Public,Distant Town,8,3,59,45,69,47
Castleton State College,88,420,520,20,17,23,92,21828,35556,Vermont,New England,Public,Distant Town,1,2,52,45,65,34
Campbell University,84,380,655,43,17,27,70,42580,42580,North Carolina,Southeast,Private,Fringe Town,17,6,50,45,100,38
University of Saint Francis-Fort Wayne,77,440,530,52,19,23,54,36492,36492,Indiana,Great Lakes,Private,Large City,6,6,71,45,100,42
Pace University-New York,90,470,570,9,21,25,77,56999,56999,New York,Mid East,Private,Large City,11,16,59,45,99,42
Palm Beach Atlantic University,75,470,590,64,20,26,84,39302,39302,Florida,Southeast,Private,Midsize City,13,13,63,45,100,35
University of Jamestown,18,430,570,82,21,24,57,28738,28738,North Dakota,Plains,Private,Remote Town,3,5,53,45,100,38
California University of Pennsylvania,97,440,530,20,17,21,93,24860,28712,Pennsylvania,Mid East,Public,Small Suburb,9,3,52,45,61,38
Lakeland College,3,410,520,98,19,24,66,35460,35460,Wisconsin,Great Lakes,Private,Fringe Rural,5,4,56,45,99,49
University of North Carolina at Greensboro,90,460,560,10,21,25,60,19172,32970,North Carolina,Southeast,Public,Large City,25,6,65,45,62,48
Nichols College,83,420,500,8,19,23,80,46690,46690,Massachusetts,New England,Private,Large Suburb,5,7,41,45,91,33
Southwestern Christian University,18,420,575,82,17,23,88,26470,26470,Oklahoma,Southwest,Private,Large Suburb,27,7,55,45,86,67
Hardin-Simmons University,64,450,550,68,20,25,38,33626,33626,Texas,Southwest,Private,Midsize City,6,14,52,45,97,34
SUNY College of Technology at Alfred,69,470,570,24,21,26,55,23239,29899,New York,Mid East,Public,Remote Town,10,6,40,45,82,55
Alvernia University,97,440,530,17,18,22,78,43250,43250,Pennsylvania,Mid East,Private,Small City,13,7,72,45,100,36
LeTourneau University,72,500,640,66,22,30,41,38775,38775,Texas,Southwest,Private,Small City,9,9,47,45,99,33
Manchester University,85,440,560,49,19,25,71,39742,39742,Indiana,Great Lakes,Private,Distant Town,4,5,53,45,100,37
Bowling Green State University-Main Campus,15,440,560,92,19,24,72,23506,30814,Ohio,Great Lakes,Public,Fringe Town,10,4,56,45,87,36
Barton College,77,410,500,63,18,22,42,39254,39254,North Carolina,Southeast,Private,Fringe Town,25,4,69,45,100,52
University of Pittsburgh-Greensburg,96,460,540,17,20,24,93,26714,37318,Pennsylvania,Mid East,Public,Large Suburb,5,4,49,45,76,34
Quincy University,3,410,500,97,20,25,89,39114,39114,Illinois,Great Lakes,Private,Remote Town,10,4,56,45,100,50
South Dakota State University,5,440,590,94,20,25,92,19446,21528,South Dakota,Plains,Public,Remote Town,2,2,52,45,69,30
Carson-Newman University,17,445,575,83,20,26,67,34100,34100,Tennessee,Southeast,Private,Small Suburb,9,1,55,45,100,51
Crown College,4,370,435,85,18,24,55,35080,35080,Minnesota,Plains,Private,Fringe Rural,7,4,53,46,96,42
Baker University,9,440,545,100,21,26,87,39407,39407,Kansas,Plains,Private,Fringe Town,10,5,57,46,100,26
Saint Peter's University,99,410,490,8,16,21,54,47842,47842,New Jersey,Mid East,Private,Large City,28,28,61,46,100,64
Drury University,11,525,650,86,22,28,81,34719,34719,Missouri,Plains,Private,Midsize City,4,4,61,46,68,63
Evangel University,28,440,600,80,19,26,64,32183,32183,Missouri,Plains,Private,Midsize City,4,5,56,46,91,42
Pennsylvania State University-Penn State Dubois,88,420,520,1,20,22,88,,,Pennsylvania,Mid East,Public,Remote Town,2,2,48,46,83,43
Lee University,33,490,600,87,21,27,92,26100,26100,Tennessee,Southeast,Private,Small City,5,4,57,46,89,37
Lenoir-Rhyne University,63,430,530,42,18,23,68,43360,43360,North Carolina,Southeast,Private,Small City,13,5,58,46,99,45
University of Illinois at Chicago,6,490,600,99,21,26,71,29320,41710,Illinois,Great Lakes,Public,Large City,8,25,50,46,67,54
College of Mount Saint Vincent,88,420,500,12,17,23,73,44835,44835,New York,Mid East,Private,Large City,17,34,72,46,100,62
St John's University-New York,93,480,590,19,21,27,53,56971,56971,New York,Mid East,Private,Large City,15,16,55,46,97,43
Rosemont College,90,410,530,10,19,23,58,46305,46305,Pennsylvania,Mid East,Private,Large Suburb,37,8,67,46,100,52
Mississippi College,14,458,593,94,21,27,67,27611,27611,Mississippi,Southeast,Private,Large Suburb,22,2,59,46,99,31
Virginia Commonwealth University,92,500,610,23,21,26,69,28297,45768,Virginia,Southeast,Public,Midsize City,18,7,57,46,62,29
University of Pittsburgh-Bradford,91,420,530,17,19,23,85,25642,36246,Pennsylvania,Mid East,Public,Remote Town,10,4,55,46,87,41
Lyon College,9,470,600,95,22,28,59,34154,34154,Arkansas,Southeast,Private,Remote Town,4,5,54,46,100,42
University of Pittsburgh-Johnstown,97,450,550,14,20,24,90,26262,36866,Pennsylvania,Mid East,Public,Small Suburb,3,1,45,46,75,30
Texas State University,72,460,560,28,21,25,75,19620,28824,Texas,Southwest,Public,Small Suburb,7,31,56,46,60,36
Blue Mountain College,4,410,540,96,18,25,56,17550,17550,Mississippi,Southeast,Private,Distant Rural,10,2,58,46,97,46
Bridgewater State University,94,440,540,4,19,24,79,22753,28893,Massachusetts,New England,Public,Large Suburb,8,5,58,46,64,29
University of Saint Joseph,95,430,520,17,18,22,86,49923,49923,Connecticut,New England,Private,Small City,12,12,98,46,99,38
East Carolina University,85,480,550,15,21,24,62,20831,34944,North Carolina,Southeast,Public,Small City,16,5,59,46,49,32
Bethel College-North Newton,24,390,520,76,19,26,64,35170,35170,Kansas,Plains,Private,Distant Town,13,10,51,47,97,48
Freed-Hardeman University,16,480,600,94,21,27,92,32908,32908,Tennessee,Southeast,Private,Distant Town,5,1,58,47,100,31
Mid-Atlantic Christian University,74,340,530,26,14,20,41,25090,25090,North Carolina,Southeast,Private,Distant Town,25,4,52,47,100,58
Pennsylvania State University-Penn State New Kensington,93,430,550,4,16,27,74,,,Pennsylvania,Mid East,Public,Fringe Rural,4,1,42,47,87,32
Kutztown University of Pennsylvania,97,430,520,12,18,22,82,22265,32389,Pennsylvania,Mid East,Public,Fringe Town,7,6,57,47,46,34
Pennsylvania State University-Penn State Mont Alto,88,410,530,4,20,23,83,30070,36676,Pennsylvania,Mid East,Public,Fringe Town,10,4,60,47,76,41
McPherson College,14,475,540,87,19,24,87,35477,35477,Kansas,Plains,Private,Remote Town,14,9,41,47,95,44
Dominican University of California,87,480,570,38,20,25,78,58860,58860,California,Far West,Private,Small City,4,22,74,47,98,31
Greenville College,19,432,550,81,19,25,66,34641,34641,Illinois,Great Lakes,Private,Distant Town,8,4,48,47,98,38
Andrews University,47,470,620,66,20,26,38,35538,35538,Michigan,Great Lakes,Private,Fringe Town,22,13,56,47,100,35
Point Park University,84,450,560,32,19,25,74,39800,39800,Pennsylvania,Mid East,Private,Large City,16,3,57,47,99,39
St Mary's University,75,470,570,45,21,24,58,38192,38192,Texas,Southwest,Private,Large City,4,72,56,47,96,53
Caldwell College,95,410,520,19,16,25,64,43800,43800,New Jersey,Mid East,Private,Large Suburb,5,6,69,47,97,51
St Thomas Aquinas College,95,420,520,20,17,20,82,41120,41120,New York,Mid East,Private,Large Suburb,7,16,53,47,94,36
Spring Arbor University,6,480,575,94,20,26,65,34046,34046,Michigan,Great Lakes,Private,Small Suburb,12,3,69,47,100,49
Oakland City University,56,430,530,48,19,24,73,30800,30800,Indiana,Great Lakes,Private,Distant Town,2,2,61,47,100,53
La Sierra University,87,400,510,29,17,22,47,41490,41490,California,Far West,Private,Large City,7,41,58,47,100,55
Polytechnic Institute of New York University,87,550,660,18,28,32,75,59570,59570,New York,Mid East,Private,Large City,6,9,24,47,93,42
Fisk University,43,420,430,62,17,18,40,35899,35899,Tennessee,Southeast,Private,Large City,87,1,66,47,95,62
Concordia University-Wisconsin,4,424,555,94,20,25,70,38440,38440,Wisconsin,Great Lakes,Private,Large Suburb,17,3,66,47,99,28
Warren Wilson College,69,530,660,44,23,27,70,43000,43000,North Carolina,Southeast,Private,Large Suburb,4,4,61,47,84,39
Stephens College,16,440,630,88,19,26,68,42424,42424,Missouri,Plains,Private,Midsize City,18,2,99,47,100,55
University of St Francis,4,480,610,96,21,25,51,40290,40290,Illinois,Great Lakes,Private,Large Suburb,7,13,68,48,100,41
Mount Saint Mary College,92,450,540,24,20,24,86,42290,42290,New York,Mid East,Private,Large Suburb,7,12,70,48,99,32
Pennsylvania State University-Penn State Lehigh Valley,93,430,550,5,19,28,85,,,Pennsylvania,Mid East,Public,Large Suburb,4,14,43,48,67,41
University of Minnesota-Duluth,3,460,590,98,22,26,78,23355,27020,Minnesota,Plains,Public,Small City,2,2,46,48,63,25
Embry-Riddle Aeronautical University-Daytona Beach,76,470,590,49,21,27,74,46614,46614,Florida,Southeast,Private,Small City,6,7,17,48,90,30
Winthrop University,60,460,570,40,19,25,72,25450,38020,South Carolina,Southeast,Public,Small City,30,3,67,48,97,45
University of Maine,94,480,590,10,21,26,81,23712,41082,Maine,New England,Public,Small Suburb,2,2,48,48,82,42
Central Washington University,87,430,550,23,18,23,82,22785,34695,Washington,Far West,Public,Distant Town,3,12,50,48,73,36
Concordia University-Portland,79,440,550,39,18,24,56,39022,39022,Oregon,Far West,Private,Large City,6,7,68,48,99,37
University of Detroit Mercy,9,480,610,94,22,28,61,52400,52400,Michigan,Great Lakes,Private,Large City,10,3,65,48,99,33
Holy Family University,94,420,510,8,16,22,76,41960,41960,Pennsylvania,Mid East,Private,Large City,7,6,74,48,99,39
Morehouse College,67,450,550,52,18,23,67,47345,47345,Georgia,Southeast,Private,Large City,96,0,0,48,84,51
Missouri University of Science and Technology,8,540,670,95,25,31,82,21798,36963,Missouri,Plains,Public,Remote Town,4,2,23,48,94,24
West Virginia University,60,460,560,58,21,26,85,18375,31551,West Virginia,Southeast,Public,Small City,4,3,46,48,72,26
Shippensburg University of Pennsylvania,99,440,530,17,18,22,83,24046,32514,Pennsylvania,Mid East,Public,Fringe Town,9,4,50,48,46,31
Oral Roberts University,40,460,570,55,20,25,44,36950,36950,Oklahoma,Southwest,Private,Large City,15,8,56,48,96,37
Pennsylvania State University-Penn State Berks,90,430,530,6,19,25,83,30840,37902,Pennsylvania,Mid East,Public,Large Suburb,9,10,44,48,55,34
Florida Institute of Technology,53,500,610,38,23,28,60,52690,52690,Florida,Southeast,Private,Small City,5,6,27,48,95,21
Wheeling Jesuit University,49,460,563,74,20,24,69,36070,36070,West Virginia,Southeast,Private,Small City,5,2,55,48,100,26
Adrian College,2,400,530,85,19,24,56,42740,42740,Michigan,Great Lakes,Private,Distant Town,10,2,49,49,98,50
Southwestern College,18,398,548,79,20,25,90,37632,37632,Kansas,Plains,Private,Distant Town,10,8,43,49,100,43
University of Cincinnati-Main Campus,89,490,620,29,22,28,73,27434,42466,Ohio,Great Lakes,Public,Large City,8,3,50,49,58,23
Texas Tech University,60,490,590,40,22,27,66,21601,30097,Texas,Southwest,Public,Midsize City,6,21,44,49,54,24
Oregon State University,76,480,600,34,21,27,79,23559,38751,Oregon,Far West,Public,Small City,1,7,46,49,70,31
East Stroudsburg University of Pennsylvania,97,430,480,15,18,22,78,20866,30990,Pennsylvania,Mid East,Public,Small City,9,10,55,49,44,30
Queens University of Charlotte,81,470,560,47,21,26,77,44124,44124,North Carolina,Southeast,Private,Large City,18,5,72,49,97,35
Mississippi State University,16,480,620,84,20,28,65,21670,31858,Mississippi,Southeast,Public,Remote Town,21,2,48,49,89,32
