Name,SATPercentage,SAT_Bottom25Percent,SAT_Top25Percent,ACTPercentage,ACT_Bottom25Percent,ACT_Top25Percent,PercentageAdmitted,InStateTuition_2014,OutofStateTuition_2014,State,Region,Type,Location,PercentageBlack,PercentageLatinx,PercentageFemale,GraduationRate,PercentageRecievingAnyFinancialAid,PercentageRecievingPellGrant
Samford University,36,500,630,84,23,28,77,40900,40900,Alabama,Southeast,Private,Large Suburb,7,7,65,61,98,14
Hampton University,55,460,550,42,18,23,36,33854,33854,Virginia,Southeast,Private,Midsize City,92,1,64,61,71,40
High Point University,85,490,580,42,21,26,64,43900,43900,North Carolina,Southeast,Private,Midsize City,6,3,59,61,68,11
Illinois College,10,410,540,85,19,25,61,39040,39040,Illinois,Great Lakes,Private,Distant Town,12,7,50,61,100,36
Asbury University,32,500,620,83,21,27,66,35494,35494,Kentucky,Southeast,Private,Fringe Town,3,2,60,61,97,48
North Carolina State University at Raleigh,76,550,640,19,25,30,50,22184,35639,North Carolina,Southeast,Public,Large City,7,4,44,61,55,21
Maryville University of Saint Louis,7,470,610,92,23,27,76,41918,41918,Missouri,Plains,Private,Large Suburb,8,2,71,61,98,27
University of Northwestern-St Paul,6,498,640,98,22,27,69,40120,40120,Minnesota,Plains,Private,Large Suburb,3,1,60,61,99,38
Carthage College,3,480,570,97,21,27,70,48050,48050,Wisconsin,Great Lakes,Private,Midsize Suburb,5,4,54,61,100,28
Stetson University,50,540,640,36,23,28,59,53712,53712,Florida,Southeast,Private,Midsize Suburb,8,14,57,61,100,34
Hampden-Sydney College,100,495,600,20,22,27,55,51577,51577,Virginia,Southeast,Private,Distant Rural,8,2,0,61,100,24
SUNY College at Cortland,87,480,550,19,21,25,47,22634,32084,New York,Mid East,Public,Distant Town,4,10,56,61,57,26
Wartburg College,11,380,540,87,21,26,78,45305,45305,Iowa,Plains,Private,Distant Town,6,2,53,61,98,27
La Salle University,89,440,550,15,19,25,80,51770,51770,Pennsylvania,Mid East,Private,Large City,19,10,65,61,98,44
Bellarmine University,24,490,590,92,22,27,95,52574,52574,Kentucky,Southeast,Private,Large City,4,3,64,61,100,27
University of Missouri-Columbia,8,520,640,94,23,28,79,22943,37292,Missouri,Plains,Public,Midsize City,8,3,52,61,72,23
The College of Idaho,86,460,570,68,21,27,91,35456,35456,Idaho,Rocky Mountains,Private,Midsize Suburb,1,15,55,61,99,42
Wittenberg University,23,520,620,55,23,25,89,50766,50766,Ohio,Great Lakes,Private,Small City,7,3,57,61,98,29
John Brown University,30,500,640,82,22,28,70,34776,34776,Arkansas,Southeast,Private,Distant Town,2,5,56,62,95,31
Lake Forest College,23,510,620,78,23,28,57,52000,52000,Illinois,Great Lakes,Private,Large Suburb,6,14,58,62,99,35
Rider University,90,460,570,24,19,25,72,51670,51670,New Jersey,Mid East,Private,Large Suburb,10,10,59,62,97,28
Millsaps College,21,498,630,87,23,28,47,46680,46680,Mississippi,Southeast,Private,Midsize City,10,3,48,62,100,23
Roanoke College,83,490,600,35,21,26,73,51371,51371,Virginia,Southeast,Private,Midsize Suburb,5,3,59,62,98,24
University of Iowa,10,540,620,86,25,28,80,20691,39561,Iowa,Plains,Public,Small City,3,6,52,62,71,20
University of Dallas,76,550,680,52,24,30,90,48710,48710,Texas,Southwest,Private,Midsize City,1,19,54,62,100,23
Elmira College,92,470,570,37,20,27,80,50800,50800,New York,Mid East,Private,Small City,3,3,72,62,99,33
Hood College,93,450,580,25,18,25,81,48830,48830,Maryland,Mid East,Private,Small City,12,8,66,62,98,27
Pennsylvania State University-Penn State Altoona,90,440,530,6,19,23,85,30840,37902,Pennsylvania,Mid East,Public,Small City,9,4,47,62,53,32
SUNY at Albany,91,490,580,26,22,26,55,22419,32739,New York,Mid East,Public,Small City,14,13,48,62,59,36
Wesleyan College,81,450,570,35,17,22,43,32375,32375,Georgia,Southeast,Private,Small City,29,4,96,62,100,49
Westminster College,14,390,550,78,21,27,72,34800,34800,Missouri,Plains,Private,Distant Town,6,3,44,62,100,32
Hiram College,22,430,600,86,19,25,57,43145,43145,Ohio,Great Lakes,Private,Fringe Town,13,4,55,62,100,45
University of Tulsa,25,560,710,64,25,32,41,51035,51035,Oklahoma,Southwest,Private,Large City,4,4,42,62,88,13
St Bonaventure University,92,460,580,61,21,27,80,42359,42359,New York,Mid East,Private,Remote Town,5,6,51,62,99,29
New College of Florida,85,620,720,54,27,30,61,20067,43095,Florida,Southeast,Public,Small City,3,14,57,62,100,25
Ohio Northern University,95,490,620,22,23,29,68,50960,50960,Ohio,Great Lakes,Private,Fringe Town,3,2,48,63,97,29
Saint Edward's University,66,510,610,29,22,26,79,47500,47500,Texas,Southwest,Private,Large City,4,37,61,63,86,35
Carroll College,64,490,620,71,22,26,53,40918,40918,Montana,Rocky Mountains,Private,Remote Town,1,4,58,63,99,21
Seattle Pacific University,84,520,630,41,23,28,72,47674,47674,Washington,Far West,Private,Large City,4,8,66,63,97,32
Butler University,56,530,630,79,25,30,66,49698,49698,Indiana,Great Lakes,Private,Large City,4,3,61,63,93,17
State University of New York at New Paltz,92,510,610,25,23,27,44,21403,30853,New York,Mid East,Public,Large Suburb,5,11,63,63,48,29
Salve Regina University,62,510,590,11,23,26,67,49950,49950,Rhode Island,New England,Private,Large Suburb,2,6,70,63,90,26
Salem College,73,510,620,50,22,27,58,41600,41600,North Carolina,Southeast,Private,Midsize City,23,7,95,63,99,51
Hamline University,11,480,640,94,21,27,66,46398,46398,Minnesota,Plains,Private,Large City,6,6,58,63,100,41
Nebraska Wesleyan University,6,470,610,96,22,26,77,39492,39492,Nebraska,Plains,Private,Large City,3,4,62,63,100,26
Niagara University,94,460,550,40,21,25,66,42350,42350,New York,Mid East,Private,Large Suburb,6,4,58,63,98,38
Eckerd College,71,510,620,49,23,28,71,51796,51796,Florida,Southeast,Private,Midsize City,6,8,61,63,96,19
Belmont University,43,540,640,78,24,29,80,43030,43030,Tennessee,Southeast,Private,Large City,4,4,60,64,75,15
SUNY College of Environmental Science and Forestry,89,520,620,48,23,27,51,24093,33543,New York,Mid East,Public,Midsize City,1,2,43,64,84,23
University of North Carolina Wilmington,78,540,620,37,22,26,54,20601,32738,North Carolina,Southeast,Public,Midsize City,5,6,60,64,47,21
Central College,4,470,580,97,21,26,66,45151,45151,Iowa,Plains,Private,Distant Town,2,3,53,64,100,30
Mount St Mary's University,81,500,600,19,17,23,67,48858,48858,Maryland,Mid East,Private,Fringe Town,10,9,55,64,100,20
DePaul University,20,530,630,86,23,28,60,49367,49367,Illinois,Great Lakes,Private,Large City,8,17,54,64,94,28
Canisius College,94,480,590,45,22,27,73,48102,48102,New York,Mid East,Private,Large City,7,3,50,64,99,37
Geneva College,85,470,590,37,20,26,68,36520,36520,Pennsylvania,Mid East,Private,Large Suburb,6,1,52,64,99,34
University at Buffalo,72,500,600,32,23,28,57,23316,35256,New York,Mid East,Public,Large Suburb,7,7,46,64,59,31
College of Our Lady of the Elms,90,420,520,8,16,22,75,44612,44612,Massachusetts,New England,Private,Large Suburb,8,10,76,64,100,49
University of California-Santa Cruz,92,470,610,43,20,26,60,33153,56031,California,Far West,Public,Small City,2,30,53,64,72,51
Goshen College,68,470,620,38,21,30,55,40760,40760,Indiana,Great Lakes,Private,Small City,4,11,57,64,100,32
Linfield College-McMinnville Campus,85,480,600,40,21,26,92,48182,48182,Oregon,Far West,Private,Distant Town,2,9,60,64,99,27
University of San Francisco,75,530,630,43,23,27,61,58384,58384,California,Far West,Private,Large City,3,19,62,64,66,24
Pacific Lutheran University,86,490,610,32,22,28,77,48308,48308,Washington,Far West,Private,Large Suburb,3,7,62,64,98,29
SUNY Oneonta,91,500,580,40,22,25,51,21680,31130,New York,Mid East,Public,Remote Town,3,9,60,64,53,27
Spelman College,74,470,570,55,20,24,38,42879,42879,Georgia,Southeast,Private,Large City,85,0,100,65,70,46
Springfield College,93,450,550,18,20,25,70,46480,46480,Massachusetts,New England,Private,Midsize City,4,5,48,65,98,24
Coe College,9,493,693,94,23,28,62,47260,47260,Iowa,Plains,Private,Midsize City,4,5,54,65,99,33
Indiana Wesleyan University,63,470,580,69,21,27,95,34588,34588,Indiana,Great Lakes,Private,Distant Town,17,3,67,65,73,43
Baldwin Wallace University,34,470,610,78,21,27,64,39230,39230,Ohio,Great Lakes,Private,Large Suburb,9,5,55,65,100,41
Rollins College,68,550,640,53,24,29,59,59438,59438,Florida,Southeast,Private,Large Suburb,6,16,60,65,85,17
The College of Saint Scholastica,3,420,530,91,21,26,73,43008,43008,Minnesota,Plains,Private,Small City,3,2,69,65,99,27
Presbyterian College,60,490,600,40,22,28,66,46378,46378,South Carolina,Southeast,Private,Distant Town,11,1,55,65,100,27
Whittier College,85,460,570,34,20,25,63,53700,53700,California,Far West,Private,Large Suburb,5,42,56,65,93,35
Truman State University,6,540,680,95,25,30,72,19568,25440,Missouri,Plains,Public,Remote Town,3,3,60,65,99,23
Rockhurst University,8,500,640,97,23,28,75,45235,45235,Missouri,Plains,Private,Large City,6,5,60,66,100,21
Valparaiso University,41,500,590,73,23,29,80,45860,45860,Indiana,Great Lakes,Private,Large Suburb,5,7,52,66,92,26
University of South Carolina-Columbia,63,540,640,61,24,29,61,24804,42516,South Carolina,Southeast,Public,Midsize City,10,4,54,66,86,19
Clarke University,6,470,530,96,20,25,78,40800,40800,Iowa,Plains,Private,Small City,3,3,66,66,99,34
Saint Francis University,93,460,510,44,20,25,76,45038,45038,Pennsylvania,Mid East,Private,Fringe Town,6,2,62,66,98,28
Cornell College,32,520,670,83,23,29,64,48905,48905,Iowa,Plains,Private,Fringe Town,5,13,55,66,96,37
Saint Joseph's College-New York,88,470,570,24,21,25,75,,,New York,Mid East,Private,Large City,10,12,69,66,95,34
Citadel Military College of South Carolina,64,480,590,36,21,25,80,25442,44243,South Carolina,Southeast,Public,Midsize City,9,6,9,66,69,21
Maine Maritime Academy,95,440,550,13,20,24,65,24098,34918,Maine,New England,Public,Distant Rural,1,1,13,66,60,22
Catholic University of America,88,500,610,29,22,27,60,56842,56842,District of Columbia,Mid East,Private,Large City,6,10,54,66,93,11
Georgia Institute of Technology-Main Campus,88,600,700,53,28,32,55,23384,42688,Georgia,Southeast,Public,Large City,6,6,33,66,67,14
Gordon College,89,516,653,21,22,29,41,44860,44860,Massachusetts,New England,Private,Large Suburb,3,7,62,66,99,25
Earlham College,39,590,700,30,26,31,64,52710,52710,Indiana,Great Lakes,Private,Distant Town,13,6,55,67,96,34
Saint Louis University,18,530,640,87,25,30,64,53438,53438,Missouri,Plains,Private,Large City,6,3,59,67,92,19
California Lutheran University,84,500,590,42,22,26,48,52577,52577,California,Far West,Private,Midsize City,4,25,55,67,98,23
Drake University,10,530,640,96,25,30,66,44349,44349,Iowa,Plains,Private,Midsize City,3,3,56,67,99,16
Washington College,95,520,640,22,24,29,67,54312,54312,Maryland,Mid East,Private,Distant Town,3,4,58,67,91,15
Loyola University Chicago,23,520,630,86,24,29,91,51273,51273,Illinois,Great Lakes,Private,Large City,4,13,64,67,95,28
University of Minnesota-Twin Cities,14,550,690,92,26,30,44,25281,31531,Minnesota,Plains,Public,Large City,4,3,51,67,54,21
Misericordia University,83,470,560,16,20,26,65,41940,41940,Pennsylvania,Mid East,Private,Large Suburb,1,3,68,67,100,25
Stevens Institute of Technology,77,570,670,23,27,32,38,60554,60554,New Jersey,Mid East,Private,Large Suburb,2,9,28,67,97,21
Calvin College,30,518,650,81,23,29,70,41195,41195,Michigan,Great Lakes,Private,Midsize City,3,3,55,67,99,24
Franciscan University of Steubenville,51,540,650,53,23,28,76,34490,34490,Ohio,Great Lakes,Private,Small City,0,10,62,67,94,25
Hendrix College,45,530,680,82,26,32,80,52536,52536,Arkansas,Southeast,Private,Small City,4,5,55,67,100,20
Drew University,76,490,610,20,22,27,77,59362,59362,New Jersey,Mid East,Private,Large Suburb,10,14,62,67,96,31
Michigan State University,15,420,580,82,23,28,69,24648,45536,Michigan,Great Lakes,Public,Small City,7,4,50,67,43,21
DeSales University,88,470,590,18,22,26,76,48398,48398,Pennsylvania,Mid East,Private,Fringe Rural,5,9,62,68,99,23
Ramapo College of New Jersey,90,490,590,13,20,26,55,29161,37811,New Jersey,Mid East,Public,Large Suburb,5,13,56,68,45,23
University of Massachusetts-Amherst,92,540,640,20,24,29,63,26282,40998,Massachusetts,New England,Public,Large Suburb,4,5,49,68,75,22
Texas A & M University-College Station,86,520,630,55,23,29,69,21051,37671,Texas,Southwest,Public,Small City,3,20,48,68,65,26
Point Loma Nazarene University,86,520,630,48,23,28,67,44593,44593,California,Far West,Private,Large City,3,19,63,68,86,27
Saint Vincent College,95,450,570,34,20,25,69,42838,42838,Pennsylvania,Mid East,Private,Large Suburb,5,3,48,68,100,31
Endicott College,99,480,570,26,21,25,72,45536,45536,Massachusetts,New England,Private,Large Suburb,2,4,60,68,89,17
Bradley University,7,500,640,97,23,28,67,42090,42090,Illinois,Great Lakes,Private,Midsize City,6,6,52,68,98,23
Concordia College at Moorhead,6,510,650,96,22,28,80,42964,42964,Minnesota,Plains,Private,Midsize Suburb,2,2,62,68,100,26
The University of Texas at Austin,83,550,670,55,25,31,40,26156,50200,Texas,Southwest,Public,Large City,4,22,52,68,54,26
Elmhurst College,8,450,550,94,21,26,72,46000,46000,Illinois,Great Lakes,Private,Large Suburb,5,13,60,68,88,35
Bethel University,8,490,640,95,22,28,95,44300,44300,Minnesota,Plains,Private,Large Suburb,6,2,63,68,100,25
Southwestern University,83,520,640,54,22,29,52,48080,48080,Texas,Southwest,Private,Large Suburb,5,19,57,68,99,27
Baylor University,49,550,660,51,24,29,57,53886,53886,Texas,Southwest,Private,Midsize City,7,14,58,68,95,18
Cedarville University,51,540,640,76,24,29,74,35020,35020,Ohio,Great Lakes,Private,Fringe Town,1,2,53,69,95,20
Manhattan College,84,480,580,15,23,27,66,52005,52005,New York,Mid East,Private,Large City,4,18,44,69,91,31
Clarkson University,89,520,620,41,24,28,64,57514,57514,New York,Mid East,Private,Remote Town,2,4,28,69,99,29
Ripon College,16,490,630,89,21,28,75,42769,42769,Wisconsin,Great Lakes,Private,Distant Town,2,6,53,69,100,36
Simmons College,91,520,630,24,23,28,49,52610,52610,Massachusetts,New England,Private,Large City,6,6,100,69,97,25
University of Redlands,71,510,610,37,23,27,67,58559,58559,California,Far West,Private,Small City,5,25,55,69,93,26
Saint Mary's College,45,500,610,77,23,28,86,47660,47660,Indiana,Great Lakes,Private,Large Suburb,1,12,100,69,98,21
Saint John Fisher College,96,480,570,47,22,27,63,41370,41370,New York,Mid East,Private,Large Suburb,4,4,60,69,100,29
Chapman University,78,550,640,51,24,29,45,59459,59459,California,Far West,Private,Midsize City,2,14,59,69,81,18
Florida State University,44,560,640,56,25,29,57,21543,36709,Florida,Southeast,Public,Midsize City,9,17,55,69,93,27
McDaniel College,83,500,600,23,21,27,76,48300,48300,Maryland,Mid East,Private,Small Suburb,12,6,53,69,99,32
Virginia Military Institute,78,520,620,44,22,27,47,25642,46630,Virginia,Southeast,Public,Distant Town,4,4,11,70,66,13
Indiana University-Bloomington,72,520,630,64,24,30,72,23820,45961,Indiana,Great Lakes,Public,Small City,4,4,51,70,53,19
University of California-Davis,93,510,640,45,23,29,45,33066,55944,California,Far West,Public,Small Suburb,2,17,56,70,68,37
Seattle University,81,520,640,39,24,29,73,52605,52605,Washington,Far West,Private,Large City,3,9,58,70,96,19
Transylvania University,21,520,660,89,24,30,96,43640,43640,Kentucky,Southeast,Private,Large City,3,3,57,70,100,30
Texas Christian University,42,540,620,57,25,29,47,50720,50720,Texas,Southwest,Private,Large City,5,11,60,70,65,10
Le Moyne College,93,480,570,45,21,26,62,44900,44900,New York,Mid East,Private,Midsize City,6,6,59,70,100,34
Houghton College,83,490,630,38,21,28,91,39590,39590,New York,Mid East,Private,Remote Rural,3,2,64,70,100,44
Hanover College,53,490,600,44,23,28,67,44150,44150,Indiana,Great Lakes,Private,Distant Town,4,2,57,70,100,36
Albion College,5,520,580,97,22,28,56,48195,48195,Michigan,Great Lakes,Private,Fringe Town,3,3,49,70,99,24
Austin College,55,540,660,52,23,27,59,47625,47625,Texas,Southwest,Private,Small City,6,16,51,70,99,30
Marquette University,16,520,630,90,25,29,57,48669,48669,Wisconsin,Great Lakes,Private,Large City,5,9,52,71,100,17
University of St Thomas,6,520,640,97,23,28,86,48400,48400,Minnesota,Plains,Private,Large City,3,4,47,71,96,19
Tulane University of Louisiana,58,620,700,63,29,32,26,61178,61178,Louisiana,Southeast,Private,Large City,9,6,58,71,75,10
Taylor University,41,520,660,59,24,31,88,39742,39742,Indiana,Great Lakes,Private,Distant Town,2,3,55,71,99,24
University of Dayton,35,490,600,81,24,29,53,49540,49540,Ohio,Great Lakes,Private,Midsize City,3,3,48,71,97,12
University of Mary Washington,94,510,620,30,22,26,81,24076,36946,Virginia,Southeast,Public,Midsize Suburb,6,7,64,71,37,14
University of San Diego,73,540,650,53,25,30,49,58189,58189,California,Far West,Private,Large City,3,19,55,71,72,17
John Carroll University,48,490,590,79,22,27,83,48310,48310,Ohio,Great Lakes,Private,Large Suburb,5,4,48,71,100,26
Lebanon Valley College,85,490,600,17,22,27,67,48630,48630,Pennsylvania,Mid East,Private,Small Suburb,2,5,53,71,99,25
Westminster College,84,460,580,38,20,25,73,43805,43805,Pennsylvania,Mid East,Private,Fringe Town,3,1,59,72,100,34
Lewis & Clark College,59,600,700,37,26,31,63,55666,55666,Oregon,Far West,Private,Large City,2,8,59,72,85,21
Xavier University,45,500,600,80,23,27,70,46520,46520,Ohio,Great Lakes,Private,Large City,10,4,54,72,100,16
Duquesne University,91,510,600,44,22,27,74,44567,44567,Pennsylvania,Mid East,Private,Large City,4,3,59,72,100,20
University of Vermont,87,540,640,30,24,29,78,28886,49814,Vermont,New England,Public,Small City,1,4,56,72,91,20
Loyola Marymount University,79,540,640,44,25,29,54,57379,57379,California,Far West,Private,Large City,6,22,57,72,84,20
University of Washington-Seattle Campus,86,520,650,31,25,30,55,27034,46608,Washington,Far West,Public,Large City,3,7,52,72,36,22
University of Wisconsin-Madison,22,530,650,85,26,30,68,23931,40181,Wisconsin,Great Lakes,Public,Midsize City,2,5,51,72,52,13
Saint Michael's College,63,530,650,20,23,28,75,50920,50920,Vermont,New England,Private,Midsize Suburb,2,4,55,73,98,22
Luther College,11,433,610,91,23,29,72,48435,48435,Iowa,Plains,Private,Remote Town,2,3,57,73,100,18
The College of Wooster,57,550,670,67,25,30,56,53500,53500,Ohio,Great Lakes,Private,Distant Town,8,4,56,73,99,25
Creighton University,30,520,640,86,24,30,77,48058,48058,Nebraska,Plains,Private,Large City,3,7,59,73,99,19
University of Georgia,86,560,660,60,26,30,56,22064,40274,Georgia,Southeast,Public,Midsize City,7,5,57,73,92,21
Saint Anselm College,60,540,610,13,23,27,74,50394,50394,New Hampshire,New England,Private,Midsize Suburb,2,3,59,73,97,14
Susquehanna University,80,510,620,17,23,27,72,51400,51400,Pennsylvania,Mid East,Private,Distant Town,5,5,56,73,98,25
SUNY College at Geneseo,57,580,690,42,27,29,46,21672,31122,New York,Mid East,Public,Distant Town,3,6,58,74,42,18
University of Denver,44,540,660,70,25,30,77,56077,56077,Colorado,Rocky Mountains,Private,Large City,3,9,55,74,83,17
Clemson University,64,560,660,36,26,31,58,28502,45936,South Carolina,Southeast,Public,Large Suburb,6,3,46,74,89,16
Messiah College,93,520,620,27,23,29,66,42990,42990,Pennsylvania,Mid East,Private,Large Suburb,2,3,61,74,100,22
Hope College,14,520,660,90,24,29,73,40050,40050,Michigan,Great Lakes,Private,Small City,2,7,60,74,92,21
University of California-San Diego,93,550,660,39,25,31,38,30470,53348,California,Far West,Public,Large City,1,16,48,74,54,30
Case Western Reserve University,65,600,720,60,29,33,42,57798,57798,Ohio,Great Lakes,Private,Large City,5,5,45,74,86,20
Ohio State University-Main Campus,39,540,660,83,27,31,56,25479,41199,Ohio,Great Lakes,Public,Large City,6,3,47,74,72,19
University of Pittsburgh-Pittsburgh Campus,89,570,660,41,26,30,56,32126,42132,Pennsylvania,Mid East,Public,Large City,5,3,50,74,48,16
Southern Methodist University,60,600,690,62,27,31,51,61355,61355,Texas,Southwest,Private,Large Suburb,6,12,51,74,73,13
University of Puget Sound,74,570,670,48,25,30,85,55948,55948,Washington,Far West,Private,Midsize City,1,7,57,74,95,16
Elizabethtown College,93,490,610,21,21,28,70,49650,49650,Pennsylvania,Mid East,Private,Large Suburb,2,3,64,75,98,23
Quinnipiac University,90,490,580,29,22,27,67,55780,55780,Connecticut,New England,Private,Large Suburb,4,8,62,75,86,15
Westmont College,79,520,650,50,24,29,70,53670,53670,California,Far West,Private,Midsize Suburb,1,13,61,75,99,21
Yeshiva University,66,550,680,36,23,29,82,55075,55075,New York,Mid East,Private,Large City,0,0,47,75,83,17
Beloit College,39,550,710,72,24,30,68,50406,50406,Wisconsin,Great Lakes,Private,Small City,4,8,59,75,95,18
Kalamazoo College,28,550,670,81,25,30,67,50800,50800,Michigan,Great Lakes,Private,Small City,4,8,56,75,98,22
James Madison University,94,520,620,32,23,27,64,22740,37218,Virginia,Southeast,Public,Small City,4,5,59,75,25,12
Saint Joseph's University,91,510,590,26,22,26,79,54772,54772,Pennsylvania,Mid East,Private,Large City,7,5,54,76,96,11
Willamette University,68,540,660,32,24,29,58,54813,54813,Oregon,Far West,Private,Midsize City,2,10,56,76,98,19
Illinois Wesleyan University,15,510,620,89,25,30,58,50352,50352,Illinois,Great Lakes,Private,Small City,5,6,56,76,98,22
Saint Johns University,15,475,610,89,23,28,75,48546,48546,Minnesota,Plains,Private,Fringe Rural,3,4,0,76,100,18
Miami University-Oxford,32,540,650,85,25,30,67,29701,45491,Ohio,Great Lakes,Public,Fringe Town,4,3,52,76,72,13
University of California-Santa Barbara,93,530,650,47,24,29,44,34051,56929,California,Far West,Public,Midsize Suburb,2,25,52,76,63,41
St Mary's College of Maryland,92,570,670,21,25,30,72,29599,43399,Maryland,Mid East,Public,Small Suburb,8,6,59,76,61,12
Thomas Aquinas College,84,590,700,31,23,31,79,35716,35716,California,Far West,Private,Distant Rural,0,15,49,76,75,35
University of Delaware,99,520,630,27,24,29,65,25612,43432,Delaware,Mid East,Public,Large Suburb,5,7,57,76,70,14
Syracuse University,81,500,620,33,23,28,49,57450,57450,New York,Mid East,Private,Midsize City,9,11,55,76,70,26
SUNY at Binghamton,93,590,675,33,27,30,43,22832,33152,New York,Mid East,Public,Midsize Suburb,5,10,47,76,43,24
Rhodes College,47,590,690,73,27,31,58,53422,53422,Tennessee,Southeast,Private,Large City,6,3,58,77,94,15
Allegheny College,71,530,640,46,23,29,65,52020,52020,Pennsylvania,Mid East,Private,Distant Town,4,6,54,77,100,26
Sewanee-The University of the South,50,580,670,51,26,30,60,47970,47970,Tennessee,Southeast,Private,Distant Rural,5,4,51,77,77,20
DePauw University,40,520,650,65,25,29,61,53290,53290,Indiana,Great Lakes,Private,Distant Town,6,3,55,77,97,21
Reed College,84,660,750,36,28,33,49,59630,59630,Oregon,Far West,Private,Large City,2,11,52,77,46,18
Cooper Union for the Advancement of Science and Art,86,610,710,12,29,33,8,60075,60075,New York,Mid East,Private,Large City,6,9,36,77,100,15
University of Connecticut,91,550,650,27,25,30,54,27244,46192,Connecticut,New England,Public,Large Suburb,5,8,49,77,63,18
Siena College,77,500,600,38,22,27,68,47265,47265,New York,Mid East,Private,Large Suburb,4,7,53,78,98,24
Ursinus College,62,520,640,18,24,30,66,58880,58880,Pennsylvania,Mid East,Private,Large Suburb,6,5,51,78,98,23
Pennsylvania State University-Main Campus,78,530,630,14,25,29,54,33592,46166,Pennsylvania,Mid East,Public,Small City,4,5,46,78,38,14
Rensselaer Polytechnic Institute,74,620,720,26,27,31,41,61820,61820,New York,Mid East,Private,Small City,2,7,30,78,95,15
University of Miami,49,600,700,41,28,32,40,60906,60906,Florida,Southeast,Private,Large Suburb,7,21,51,78,74,18
Gonzaga University,80,540,640,53,25,29,67,48530,48530,Washington,Far West,Private,Midsize City,1,8,54,78,99,15
University of Illinois at Urbana-Champaign,28,560,670,79,26,31,62,29086,43468,Illinois,Great Lakes,Public,Small City,5,8,44,78,46,21
American University,67,590,690,35,26,30,43,56808,56808,District of Columbia,Mid East,Private,Large City,6,10,61,78,72,19
Trinity University,59,560,690,40,26,31,64,48630,48630,Texas,Southwest,Private,Large City,4,17,52,78,93,18
University of Florida,63,580,670,37,26,31,47,19103,41381,Florida,Southeast,Public,Midsize City,7,19,55,78,95,29
Fordham University,82,570,670,34,26,30,47,63438,63438,New York,Mid East,Private,Large City,4,14,54,79,92,20
George Washington University,75,600,690,37,27,31,33,61446,61446,District of Columbia,Mid East,Private,Large City,7,7,55,79,65,12
University of California-Irvine,95,460,600,41,21,27,42,30504,53382,California,Far West,Public,Midsize City,2,22,54,79,71,48
College of Saint Benedict,7,470,570,95,23,28,76,49970,49970,Minnesota,Plains,Private,Midsize Suburb,2,5,100,79,100,29
University of Scranton,82,510,600,32,22,27,75,55008,55008,Pennsylvania,Mid East,Private,Small City,2,7,55,79,92,21
Elon University,78,560,660,22,23,26,54,43546,43546,North Carolina,Southeast,Private,Midsize Suburb,6,5,59,80,56,7
Denison University,22,590,660,38,27,31,46,56520,56520,Ohio,Great Lakes,Private,Small Suburb,6,9,58,80,99,19
Bryant University,72,510,590,13,23,27,77,53598,53598,Rhode Island,New England,Private,Large Suburb,4,6,42,80,88,16
Emerson College,84,590,670,32,26,30,48,53554,53554,Massachusetts,New England,Private,Large City,3,10,63,81,57,15
Wofford College,81,540,620,68,24,29,69,49449,49449,South Carolina,Southeast,Private,Small City,8,2,48,81,91,17
New York University,78,620,720,22,28,32,26,63540,63540,New York,Mid East,Private,Large City,5,10,60,81,48,20
Lehigh University,72,580,670,28,28,32,31,57145,57145,Pennsylvania,Mid East,Private,Small City,3,8,44,81,53,17
Centre College,37,550,670,79,26,31,69,48020,48020,Kentucky,Southeast,Private,Distant Town,5,2,51,81,97,15
Santa Clara University,79,590,680,48,27,31,51,59589,59589,California,Far West,Private,Midsize City,3,17,50,81,82,12
Gustavus Adolphus College,6,550,680,70,24,30,63,50110,50110,Minnesota,Plains,Private,Fringe Town,2,3,54,82,97,24
Soka University of America,91,500,640,28,25,29,43,43128,43128,California,Far West,Private,Large Suburb,5,8,64,82,100,26
University of Rochester,67,600,700,35,29,32,36,61340,61340,New York,Mid East,Private,Midsize City,5,6,52,82,88,18
University of California-Los Angeles,91,560,680,41,25,31,22,32416,55294,California,Far West,Public,Large City,3,18,55,82,54,31
Carnegie Mellon University,90,640,740,34,30,34,25,62032,62032,Pennsylvania,Mid East,Private,Large City,5,7,42,82,54,13
Loyola University Maryland,62,540,627,22,25,29,58,58578,58578,Maryland,Mid East,Private,Large City,5,9,59,82,66,15
Wheaton College,58,600,720,62,27,32,69,42390,42390,Illinois,Great Lakes,Private,Large Suburb,2,5,51,82,73,22
Boston University,84,570,670,40,26,30,46,61446,61446,Massachusetts,New England,Private,Large City,3,9,60,83,54,15
Scripps College,73,640,733,43,29,32,36,61370,61370,California,Far West,Private,Large Suburb,3,8,100,83,52,12
Furman University,65,550,670,53,25,30,64,57276,57276,South Carolina,Southeast,Private,Large Suburb,5,3,57,83,83,14
Gettysburg College,78,600,690,9,27,29,42,58320,58320,Pennsylvania,Mid East,Private,Small City,3,4,52,83,69,14
Bryn Mawr College,79,600,710,31,27,32,40,59760,59760,Pennsylvania,Mid East,Private,Large Suburb,5,9,100,83,76,16
Stonehill College,84,510,610,19,22,28,71,52370,52370,Massachusetts,New England,Private,Large Suburb,3,4,62,84,89,17
Colorado College,49,610,710,47,27,32,22,57400,57400,Colorado,Rocky Mountains,Private,Large City,2,9,55,84,44,10
